scorer_version,domain,record_id,label,annotator1_count,annotator2_count,exact_tp,containment_extra_tp,exact_precision,exact_recall,exact_f1,containment_precision,containment_recall,containment_f1
exact_first_matching,software_developers,08b35904c8c050918c00da4fb962dec60f6bb9c0,hard_skills,14,13,10,2,0.7142857142857143,0.7692307692307693,0.7407407407407408,0.8571428571428571,0.9230769230769231,0.888888888888889
exact_first_matching,software_developers,0d6deceb0d8f7fbaf7388f8244060da5cfafc297,hard_skills,3,3,2,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
exact_first_matching,software_developers,0e18ce5f95336fb84e514ccb6ba05efd943f94d9,hard_skills,14,15,11,3,0.7857142857142857,0.7333333333333333,0.7586206896551724,1.0,0.9333333333333333,0.9655172413793104
exact_first_matching,software_developers,1dfa922d141361e3b54349ef6a26ab225765017b,hard_skills,3,2,0,1,0.0,0.0,0.0,0.3333333333333333,0.5,0.4
exact_first_matching,software_developers,26d441214e6bea6bb0f0ea920756af7df3ad5cc0,hard_skills,21,23,18,3,0.8571428571428571,0.782608695652174,0.8181818181818182,1.0,0.9130434782608695,0.9545454545454545
exact_first_matching,software_developers,29fac269cf015bcca2c9f604379758d586e8b5fc,hard_skills,18,18,18,0,1.0,1.0,1.0,1.0,1.0,1.0
exact_first_matching,software_developers,2a372f7eed4f4231f8c4d1a54c0bba4be8b20357,hard_skills,20,23,17,2,0.85,0.7391304347826086,0.7906976744186046,0.95,0.8260869565217391,0.8837209302325583
exact_first_matching,software_developers,2af58d3ee9707f725c8a4e61a7abf072fadb3fdf,hard_skills,12,13,7,5,0.5833333333333334,0.5384615384615384,0.5599999999999999,1.0,0.9230769230769231,0.9600000000000001
exact_first_matching,software_developers,3d7fa3f609fac471741578715ff75be547478781,hard_skills,15,24,10,5,0.6666666666666666,0.4166666666666667,0.5128205128205129,1.0,0.625,0.7692307692307693
exact_first_matching,software_developers,3fc97a60224060874af390a4f38f6d8cd7e7fdcf,hard_skills,34,35,20,9,0.5882352941176471,0.5714285714285714,0.5797101449275363,0.8529411764705882,0.8285714285714286,0.8405797101449276
exact_first_matching,software_developers,4d664c3d98a17f4fbd2a4eeef937018df2ea93e1,hard_skills,19,21,14,4,0.7368421052631579,0.6666666666666666,0.7,0.9473684210526315,0.8571428571428571,0.9
exact_first_matching,software_developers,4ec4a23bc0f19e8a90e119d6eefc9c5f2bf9b58c,hard_skills,22,23,15,6,0.6818181818181818,0.6521739130434783,0.6666666666666666,0.9545454545454546,0.9130434782608695,0.9333333333333332
exact_first_matching,software_developers,5fb25768e7f37ffa00739b65e65f0159a7aceeea,hard_skills,7,6,5,1,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.8571428571428571,1.0,0.923076923076923
exact_first_matching,software_developers,66ac09b15df185c3998ff3ac7d9a07e88b3ea7b1,hard_skills,1,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
exact_first_matching,software_developers,6bcfddf5778839a540667543b6e475a42273c0cc,hard_skills,14,16,9,4,0.6428571428571429,0.5625,0.6000000000000001,0.9285714285714286,0.8125,0.8666666666666666
exact_first_matching,software_developers,750fceec480cf04eab0e7cf347fa0f08279dd983,hard_skills,25,25,17,7,0.68,0.68,0.68,0.96,0.96,0.96
exact_first_matching,software_developers,76823aac15d363047c7b8ec0acc55130d79637f6,hard_skills,3,2,1,1,0.3333333333333333,0.5,0.4,0.6666666666666666,1.0,0.8
exact_first_matching,software_developers,7a4a94128750c035840f14bb5b5f618bfa234062,hard_skills,17,16,11,4,0.6470588235294118,0.6875,0.6666666666666667,0.8823529411764706,0.9375,0.9090909090909091
exact_first_matching,software_developers,8245de776aec9ab1e4ca2259a7caef9f49720139,hard_skills,5,5,4,1,0.8,0.8,0.8000000000000002,1.0,1.0,1.0
exact_first_matching,software_developers,83a7c818ddc9bf2d7e4b88a77ceade31e20d9ab5,hard_skills,20,21,17,3,0.85,0.8095238095238095,0.8292682926829269,1.0,0.9523809523809523,0.975609756097561
exact_first_matching,software_developers,85d6d8d0f38cce1eca507e80e7d5d8aa71a4ca46,hard_skills,5,5,5,0,1.0,1.0,1.0,1.0,1.0,1.0
exact_first_matching,software_developers,9ec2819b4aea22446ec59deb66ef7a31b8285511,hard_skills,15,14,9,4,0.6,0.6428571428571429,0.6206896551724138,0.8666666666666667,0.9285714285714286,0.896551724137931
exact_first_matching,software_developers,a89dd7bbb0a5e86995f59a857bd30676abf2212c,hard_skills,16,18,14,2,0.875,0.7777777777777778,0.823529411764706,1.0,0.8888888888888888,0.9411764705882353
exact_first_matching,software_developers,b538dd3a43282b4e5b082443a9a6b253a4735608,hard_skills,42,44,29,6,0.6904761904761905,0.6590909090909091,0.6744186046511628,0.8333333333333334,0.7954545454545454,0.8139534883720929
exact_first_matching,software_developers,bbd75fc7ef4f2cf2b0c10730200251e9ce246857,hard_skills,5,5,4,1,0.8,0.8,0.8000000000000002,1.0,1.0,1.0
exact_first_matching,software_developers,cdf58a4b02fb270e68da28fa8e4da014dc7e46a1,hard_skills,2,6,1,1,0.5,0.16666666666666666,0.25,1.0,0.3333333333333333,0.5
exact_first_matching,software_developers,cf2a8d074ae385dc3737143b81acb0aa494937cd,hard_skills,10,10,5,3,0.5,0.5,0.5,0.8,0.8,0.8000000000000002
exact_first_matching,software_developers,cfcb2ae30a6f58604789eeb74faaca09c434a5dd,hard_skills,10,12,8,1,0.8,0.6666666666666666,0.7272727272727272,0.9,0.75,0.8181818181818182
exact_first_matching,software_developers,d98b5b261e398686722a9e0bfc5b104d19d67b72,hard_skills,17,18,13,3,0.7647058823529411,0.7222222222222222,0.7428571428571428,0.9411764705882353,0.8888888888888888,0.9142857142857143
exact_first_matching,software_developers,e4080c526064c76f38a00d030c86f93a8f6f7ed2,hard_skills,17,19,16,0,0.9411764705882353,0.8421052631578947,0.8888888888888888,0.9411764705882353,0.8421052631578947,0.8888888888888888
exact_first_matching,software_developers,e949b3bd073a741410dd42e13b3826aa0d1ec8d6,hard_skills,2,4,2,0,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666
exact_first_matching,software_developers,fc2d62596eed08a2c1d289b5fbfe1ba0abe55e42,hard_skills,29,31,15,8,0.5172413793103449,0.4838709677419355,0.5000000000000001,0.7931034482758621,0.7419354838709677,0.7666666666666667
exact_first_matching,software_developers,08b35904c8c050918c00da4fb962dec60f6bb9c0,soft_skills,20,17,12,5,0.6,0.7058823529411765,0.6486486486486486,0.85,1.0,0.9189189189189189
exact_first_matching,software_developers,0d6deceb0d8f7fbaf7388f8244060da5cfafc297,soft_skills,6,6,5,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0
exact_first_matching,software_developers,0e18ce5f95336fb84e514ccb6ba05efd943f94d9,soft_skills,11,13,7,4,0.6363636363636364,0.5384615384615384,0.5833333333333334,1.0,0.8461538461538461,0.9166666666666666
exact_first_matching,software_developers,1dfa922d141361e3b54349ef6a26ab225765017b,soft_skills,12,17,9,3,0.75,0.5294117647058824,0.6206896551724139,1.0,0.7058823529411765,0.8275862068965517
exact_first_matching,software_developers,26d441214e6bea6bb0f0ea920756af7df3ad5cc0,soft_skills,6,8,6,0,1.0,0.75,0.8571428571428571,1.0,0.75,0.8571428571428571
exact_first_matching,software_developers,29fac269cf015bcca2c9f604379758d586e8b5fc,soft_skills,20,20,15,5,0.75,0.75,0.75,1.0,1.0,1.0
exact_first_matching,software_developers,2a372f7eed4f4231f8c4d1a54c0bba4be8b20357,soft_skills,5,5,2,3,0.4,0.4,0.4000000000000001,1.0,1.0,1.0
exact_first_matching,software_developers,2af58d3ee9707f725c8a4e61a7abf072fadb3fdf,soft_skills,9,9,5,4,0.5555555555555556,0.5555555555555556,0.5555555555555556,1.0,1.0,1.0
exact_first_matching,software_developers,3d7fa3f609fac471741578715ff75be547478781,soft_skills,9,15,7,1,0.7777777777777778,0.4666666666666667,0.5833333333333334,0.8888888888888888,0.5333333333333333,0.6666666666666667
exact_first_matching,software_developers,3fc97a60224060874af390a4f38f6d8cd7e7fdcf,soft_skills,9,7,5,1,0.5555555555555556,0.7142857142857143,0.6250000000000001,0.6666666666666666,0.8571428571428571,0.75
exact_first_matching,software_developers,4d664c3d98a17f4fbd2a4eeef937018df2ea93e1,soft_skills,7,7,4,2,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.8571428571428571,0.8571428571428571,0.8571428571428571
exact_first_matching,software_developers,4ec4a23bc0f19e8a90e119d6eefc9c5f2bf9b58c,soft_skills,5,5,5,0,1.0,1.0,1.0,1.0,1.0,1.0
exact_first_matching,software_developers,5fb25768e7f37ffa00739b65e65f0159a7aceeea,soft_skills,2,3,2,0,1.0,0.6666666666666666,0.8,1.0,0.6666666666666666,0.8
exact_first_matching,software_developers,66ac09b15df185c3998ff3ac7d9a07e88b3ea7b1,soft_skills,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
exact_first_matching,software_developers,6bcfddf5778839a540667543b6e475a42273c0cc,soft_skills,4,3,2,1,0.5,0.6666666666666666,0.5714285714285715,0.75,1.0,0.8571428571428571
exact_first_matching,software_developers,750fceec480cf04eab0e7cf347fa0f08279dd983,soft_skills,7,6,5,1,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.8571428571428571,1.0,0.923076923076923
exact_first_matching,software_developers,76823aac15d363047c7b8ec0acc55130d79637f6,soft_skills,3,3,2,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0
