label_type,metric,label,avg,total_items,overlap_total
distinct_skills,exact_ratio,review1,0.0,8,0
distinct_skills,exact_ratio,review2,0.0,6,0
distinct_skills,bm25_ratio,review1,0.0,8,0
distinct_skills,bm25_ratio,review2,0.0,6,0
distinct_skills,embed_ratio,review1,0.26666666666666666,8,3
distinct_skills,embed_ratio,review2,0.4,6,2
distinct_skills,hybrid_ratio,review1,0.26666666666666666,8,3
distinct_skills,hybrid_ratio,review2,0.4,6,2
distinct_skills,merge_exact_ratio,review1,0.0,8,0
distinct_skills,merge_exact_ratio,review2,0.0,6,0
distinct_skills,merge_bm25_ratio,review1,0.0,8,0
distinct_skills,merge_bm25_ratio,review2,0.0,6,0
distinct_skills,merge_embed_ratio,review1,0.26666666666666666,7,2
distinct_skills,merge_embed_ratio,review2,0.4,6,2
distinct_skills,merge_hybrid_ratio,review1,0.26666666666666666,7,2
distinct_skills,merge_hybrid_ratio,review2,0.4,6,2
