path,bytes,sha256,role
.gitignore,126,e282000e6d42295b96ebecb83c21d0a963ea3e3e07ea27ab6fe1df00944b893f,repository_documentation
DATA_AND_LICENSE_CHECKLIST.md,1228,0a9405c86325c0cba1fc5a3c145c88349bc40905b13a66048c54d91b569db30e,repository_documentation
LICENSE,1076,61be71c55ff4ed647e4bd3d49f2877de601908fdd7a5a1a0b998dbd42d08ce79,repository_documentation
LLMs_running.ipynb,44252,f66eccc9d0db6bc4baf5ee6f5ccb6db8eb42fec593d6d571e1d342ebce3a871f,repository_documentation
README.md,8679,7208aad5f466714f4c6a14d08c352e4891c6d938f10fe61164591136078d17e6,repository_documentation
REPRODUCIBILITY.md,3206,b6e67a55086b2852d730640dcc00bd7f11bbffb2425bb9b8dd3eb264b2726efa,repository_documentation
SEJobAd_Prompts.docx,31808,b2368e9a337675c3b50c23133d05f74f6284b0549d76a5e960a2a010cfdae910,repository_documentation
data/llm_predictions/normalized_source/claude_it.jsonl,1166238,1d2fc944f3cef6f82e8aac6a8733c817e0f6595b5dc3601c656ad64885110048,prompted_model_prediction
data/llm_predictions/normalized_source/claude_journal.jsonl,1195950,3deb14848adeabb7b87dd316084db6a240a6db96989ba81db4f2450534ac5f06,prompted_model_prediction
data/llm_predictions/normalized_source/gemini_it.jsonl,1189268,2d78626df4d61d625480fc0a09aeefb2c3adb3ef7480473baf9e7137ad79d1a3,prompted_model_prediction
data/llm_predictions/normalized_source/gemini_journal.jsonl,1175157,3ac665f8890c3f66c373a2302c74c3323cbcd29e033f54c2409f3310cefe7ac5,prompted_model_prediction
data/llm_predictions/normalized_source/gpt_it.jsonl,1244413,ad846401023e40209a92ad179325cce7e1c4b6382a1de345354e007214bcfd99,prompted_model_prediction
data/llm_predictions/normalized_source/gpt_journal.jsonl,1234763,3b0493487ccb652ea0ab7f040991529ec926b98b5ad6dbcef00dd434ccc6140a,prompted_model_prediction
data/llm_predictions/normalized_source/manifest.json,2598,c3f73e702eaa723e6a0cece2c1dc8787a9284ec52b3ec4e53d90fc41bae204ee,prompted_model_prediction
data/llm_predictions/raw_workbooks/Claude_IT.xlsx,439598,5d227b2983124b45ac6e7482a0ef3753e12564e86c139c725b6bff073b5cc11d,prompted_model_prediction
