id,split,seed,domain,skill,source_row,is_prompt_development
8c8615e90ed52df6f4a0a6251153a155932e128d,test,13,merged,distinct_skills,1,False
f5b0b30656339d3244fc311fd1997eef42671e3d,train,13,merged,distinct_skills,2,True
953cb2024dc0a0cd62587f4dfb91d8a4c0fc368f,train,13,merged,distinct_skills,3,True
bbf8318c1d5197c62425b240baaedbd3c6db676c,train,13,merged,distinct_skills,4,True
ec47c1b7cdf39e665568835d1aea381aee2e7f2d,test,13,merged,distinct_skills,5,False
14e40374f49f52a3084d4fcb7817b7d859822245,validation,13,merged,distinct_skills,6,True
62c870348b798cb7682ca1f1f15ca4d2a49e5017,train,13,merged,distinct_skills,7,True
89da494a8b9adaae965ffd3c5ccf0e88a21d05f3,train,13,merged,distinct_skills,8,True
750fceec480cf04eab0e7cf347fa0f08279dd983,train,13,merged,distinct_skills,9,True
b538dd3a43282b4e5b082443a9a6b253a4735608,train,13,merged,distinct_skills,10,True
3fc97a60224060874af390a4f38f6d8cd7e7fdcf,train,13,merged,distinct_skills,11,True
6bcfddf5778839a540667543b6e475a42273c0cc,test,13,merged,distinct_skills,12,False
cf2a8d074ae385dc3737143b81acb0aa494937cd,test,13,merged,distinct_skills,13,False
05b8cb0ae75d7945694a18309545f7fbdbdf0c70,test,13,merged,distinct_skills,14,False
3ada6bcd4cf3482bdbeaf18d62afdc0c50ec864d,test,13,merged,distinct_skills,15,False
44355e148f58cf8bb034583bd88c38f2fe9764e0,train,13,merged,distinct_skills,16,True
8e51da2095b0e09998af14f1bafb5f65973a7c36,train,13,merged,distinct_skills,17,True
e672bbabde169070e268953033f71205750bc39b,test,13,merged,distinct_skills,18,False
98dddf8418ba79f5ee194ff886354fcc6e9195c9,validation,13,merged,distinct_skills,19,False
a20d795463241aab8b99e2d7a37d855d29f33656,validation,13,merged,distinct_skills,20,True
8fc7a4285bf16979b988f78be1adc3d9a6f4eb82,test,13,merged,distinct_skills,21,False
2a1394eb90de28e97e8ffd4d095ad1c7a95f2c23,test,13,merged,distinct_skills,22,False
6d353c8cb10c7a1356b9ad1f9c0174ca3ad63188,train,13,merged,distinct_skills,23,True
29fdbf83b8129345c9d96196223de16aeadea161,train,13,merged,distinct_skills,24,True
2719bec1248961c0f429170a7c0bb7ac77784a09,test,13,merged,distinct_skills,25,False
e02c93303d68b0a208f68600009e38ce7df35455,train,13,merged,distinct_skills,26,False
88bf63d30305a0c6cc0d8282bcf8c151dd9dea3a,test,13,merged,distinct_skills,27,False
ffcb9e34e0dbca1a9a2dd8c5426d7a8c895fb765,test,13,merged,distinct_skills,28,False
475a0d3e2e8f0a634ddeca9583121fc48ac88f7a,test,13,merged,distinct_skills,29,False
6c155103b1ea8352ad86caac690bd7c423eab634,test,13,merged,distinct_skills,30,False
8d8ffcd005addac075eff4ba23f1f104c9017771,test,13,merged,distinct_skills,31,False
5d0b6a3873ae59fa8203c7a2160ee8134cd9c326,train,13,merged,distinct_skills,32,True
e2303b3eead419885211a6bc4119db84fb69ab62,test,13,merged,distinct_skills,33,False
107c94cfcde96d9304cdb49828ae3f15b8df56ab,train,13,merged,distinct_skills,34,False
e57ce82992c09316f792585bdf36efa135d98004,test,13,merged,distinct_skills,35,False
a0270446be9b712ca74962cd6c12cd91cf6dc0db,train,13,merged,distinct_skills,36,True
d2c50b4d758a3369ee6a30d6b5f284c159eee6bc,test,13,merged,distinct_skills,37,False
e0eae3ddc552043174c91f750c5816f604433ee5,test,13,merged,distinct_skills,38,False
dd174cad81d4377c5b903e3a81884b47b1f94e05,test,13,merged,distinct_skills,39,False
42ad0d8a4a6890c19bf114608d7a2b80d2f15598,validation,13,merged,distinct_skills,40,False
ffda32567e94e1dfa601b07061a1d1306df660f6,test,13,merged,distinct_skills,41,False
a65416bfd9a6966c0af0c7651fcfa3a4a79ffaa0,train,13,merged,distinct_skills,42,True
4cf804602b1964c1184595cbf8542a75ec0bf05f,test,13,merged,distinct_skills,43,False
58482b381dfb35eca06cfd13d245e90e793eab76,validation,13,merged,distinct_skills,44,True
7f34958a5a3305816490f746de1e880a0260ca9b,train,13,merged,distinct_skills,45,False
158f552d78bb8c492406de518c9529b89e1d9118,test,13,merged,distinct_skills,46,False
1a30cc0d36543c3691a388fcf752069f94586200,train,13,merged,distinct_skills,47,False
fc5524ac3f04064213a12d27a7e3655928ab35a3,train,13,merged,distinct_skills,48,True
1590b304487f956e96466de9cd8b37702bc70ea9,train,13,merged,distinct_skills,49,False
e67c0f9fa8cf6f8528202fb5623c4940f27a114e,test,13,merged,distinct_skills,50,False
8dd0c2f9c8625abc0f556e23de14f7c0c40e74cb,train,13,merged,distinct_skills,51,False
2c665ca620d5c39c4a77c05713888c7bb1e1b96a,train,13,merged,distinct_skills,52,True
4277281686ae168aed0a86ec5a317e2b6666d9fa,train,13,merged,distinct_skills,53,True
e8405585a68eb4e563f09edf13cfcd3324c92a34,train,13,merged,distinct_skills,54,True
f345fc20c81ec193dc5bc66cb73fe267740519b2,test,13,merged,distinct_skills,55,False
2b610e2545b91119d9254f8ff60dbf866947751b,train,13,merged,distinct_skills,56,True
6e1fbf0f85915f3f2d945e5c4bd564ac984fe80f,test,13,merged,distinct_skills,57,False
b05cab760e28c93fa7c8525449dc11f1905f10f0,train,13,merged,distinct_skills,58,False
2e0778f28450942118eb7bd9d32bf4f4245fbc07,validation,13,merged,distinct_skills,59,True
04f791eb6ead943ad2f7e9816c983bf77e9900b2,train,13,merged,distinct_skills,60,True
8882c4e0acbc8a16fd531c4880ffd461b2d5989d,train,13,merged,distinct_skills,61,True
e8d9b76a4eed6628f045604434b8d3a4d40acfd2,train,13,merged,distinct_skills,62,True
e4223b3f3e3b1f1ed15ac0720cf0a3ec6132a16d,train,13,merged,distinct_skills,63,True
ea8e536b33acb4ed3f20cf4943efa5e64757852b,train,13,merged,distinct_skills,64,True
c6079ace5a54e1e31aaca216a813a8d0246109fd,test,13,merged,distinct_skills,65,False
f7230c79586cd0e76a3b7f534817f1d093548dd7,validation,13,merged,distinct_skills,66,True
cf2bbc2032d9b45a61d1fdfd99d3e628ba744610,test,13,merged,distinct_skills,67,False
be81868fa6116929b1c4ff9739f27b93787b2d87,test,13,merged,distinct_skills,68,False
7431dd95f7a586d07e0aa5c125baadbf3c41b7c7,test,13,merged,distinct_skills,69,False
e58e4cd54b75edb5b81b2afe3b9d8061f0bf4734,test,13,merged,distinct_skills,70,False
13d3fbf3251b60e0c12cc2ef03a209ad67adaa04,test,13,merged,distinct_skills,71,False
59a5cd5cc39aa78989b88136f1500bb7554ebda4,test,13,merged,distinct_skills,72,False
54d87fa2fd5a5b2620fad83046cac38f945c3d0e,test,13,merged,distinct_skills,73,False
9b7e1a0434ba04f1626803e6562f05821151e9df,test,13,merged,distinct_skills,74,False
d1c5ca0b451fb6e47b96bb2995e009b09fc7fae5,test,13,merged,distinct_skills,75,False
0ac7a4201b9ab329ad9aa5abc6a1399a2a476a8a,test,13,merged,distinct_skills,76,False
a08caf1169ab3d4e67bc7557526fc8ef0d02e477,test,13,merged,distinct_skills,77,False
6bdfcfb01842102f32195a47a66d76be3f7f639b,test,13,merged,distinct_skills,78,False
9b2e702d9ef810dc83897548321ea13abdaddb8f,train,13,merged,distinct_skills,79,False
aca27e008c1048f296d9d0a1207715c66d9ae7bb,test,13,merged,distinct_skills,80,False
b199fd5728886be4c5d563ba001ea35599800aad,validation,13,merged,distinct_skills,81,False
05db991a25a08d47545a283d9accab4d49aa430a,train,13,merged,distinct_skills,82,False
c0cde1fdf43b3a36dab9ae50941aa56d2118146e,test,13,merged,distinct_skills,83,False
b54108a3dd2579302d8492eaeb2057499a68ca60,train,13,merged,distinct_skills,84,True
516554ec21763514f02a94514d00062219e1318f,train,13,merged,distinct_skills,85,True
63ea240ddc499c93ea47507b6517e502bcce3985,train,13,merged,distinct_skills,86,True
